value,entity_type,description
gate.clawsindia.in,hostname,UTA0137 related indicators
help.clawsindia.in,hostname,UTA0137 related indicators
imap.clawsindia.in,hostname,UTA0137 related indicators
intranet.clawsindia.in,hostname,UTA0137 related indicators
lists.clawsindia.in,hostname,UTA0137 related indicators
3.111.168.95,ipaddress,UTA0137 related indicators
18.61.80.151,ipaddress,UTA0137 related indicators
179.43.175.111,ipaddress,UTA0137 related indicators
65.1.148.138,ipaddress,UTA0137 related indicators
15.206.164.242,ipaddress,UTA0137 related indicators
